Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer,Total Revenue
2022-01-25,North America,CRM,Direct Sales,Consumer,1303.0,2.0,1538.0,Yes,2606.0
2022-01-26,Asia,DevTools,Partner,Business,6124.0,15.0,1769.0,Yes,91860.0
2022-01-27,Asia,CRM,Partner,Business,7058.0,9.0,1035.0,No,63522.0
2022-01-28,Europe,Database,Direct Sales,Consumer,4582.0,15.0,849.0,No,68730.0
2022-01-29,South America,ERP,Direct Sales,Business,2508.0,8.0,1440.0,No,20064.0
2022-01-30,South America,CRM,Partner,Business,8786.0,16.0,1882.0,Yes,140576.0
2022-01-31,Asia,Antivirus,Partner,Business,7455.0,14.0,775.0,No,104370.0
2022-02-01,South America,Antivirus,Online,Consumer,9009.0,15.0,1705.0,No,135135.0
2022-02-02,South America,DevTools,Partner,Business,8202.0,13.0,1215.0,No,106626.0
2022-02-03,North America,Database,Direct Sales,Consumer,9905.0,9.0,1699.0,Yes,89145.0
2022-02-04,Asia,DevTools,Online,Consumer,2003.0,1.0,1258.0,Yes,2003.0
2022-02-05,Australia,DevTools,Direct Sales,Business,959.0,6.0,1066.0,No,5754.0
2022-02-06,Asia,DevTools,Online,Consumer,3436.0,8.0,1545.0,Yes,27488.0
2022-02-07,Australia,Antivirus,Direct Sales,Business,1377.0,18.0,1851.0,Yes,24786.0
2022-02-08,North America,Antivirus,Partner,Business,5279.0,18.0,980.0,No,95022.0
2022-02-09,Europe,DevTools,Direct Sales,Business,6367.0,17.0,1191.0,No,108239.0
2022-02-10,South America,Antivirus,Online,Business,5825.0,16.0,844.0,Yes,93200.0
2022-02-11,North America,Database,Direct Sales,Business,2666.0,13.0,775.0,Yes,34658.0
2022-02-12,South America,DevTools,Online,Consumer,9097.0,4.0,1667.0,No,36388.0
2022-02-13,Europe,Antivirus,Direct Sales,Consumer,310.0,4.0,801.0,No,1240.0
2022-02-14,Europe,CRM,Partner,Consumer,3545.0,14.0,1690.0,No,49630.0
2022-02-15,North America,DevTools,Partner,Consumer,7218.0,5.0,1144.0,No,36090.0
2022-02-16,Europe,DevTools,Direct Sales,Business,7693.0,16.0,1993.0,No,123088.0
2022-02-17,Australia,Database,Direct Sales,Business,4220.0,14.0,796.0,No,59080.0
2022-02-18,Europe,ERP,Direct Sales,Consumer,267.0,14.0,639.0,No,3738.0
2022-02-19,South America,ERP,Online,Business,6219.0,14.0,613.0,Yes,87066.0
2022-02-20,South America,Database,Direct Sales,Consumer,725.0,14.0,1753.0,Yes,10150.0
2022-02-21,South America,Database,Direct Sales,Consumer,1168.0,19.0,1157.0,No,22192.0
2022-02-22,South America,Database,Online,Consumer,6537.0,3.0,505.0,Yes,19611.0
2022-02-23,Australia,ERP,Partner,Consumer,3194.0,17.0,1812.0,Yes,54298.0
2022-02-24,Asia,Database,Direct Sales,Business,3545.0,14.0,1815.0,No,49630.0
2022-02-25,North America,Antivirus,Direct Sales,Business,4919.0,10.0,1710.0,No,49190.0
2022-02-26,South America,DevTools,Partner,Consumer,9788.0,13.0,872.0,No,127244.0
2022-02-27,Europe,DevTools,Partner,Consumer,9658.0,4.0,1059.0,Yes,38632.0
2022-02-28,South America,CRM,Online,Consumer,4221.0,11.0,1617.0,No,46431.0
2022-03-01,Europe,CRM,Direct Sales,Consumer,2728.0,15.0,1234.0,No,40920.0
2022-03-02,Europe,DevTools,Direct Sales,Consumer,3096.0,15.0,731.0,Yes,46440.0
2022-03-03,South America,Antivirus,Online,Business,2761.0,2.0,864.0,No,5522.0
2022-03-04,Australia,ERP,Partner,Consumer,5369.0,11.0,1959.0,Yes,59059.0
2022-03-05,Europe,ERP,Online,Consumer,6108.0,2.0,727.0,Yes,12216.0
2022-03-06,Europe,Antivirus,Partner,Business,4939.0,5.0,1589.0,No,24695.0
2022-03-07,South America,ERP,Online,Business,4139.0,13.0,1217.0,No,53807.0
2022-03-08,Europe,Database,Partner,Business,2192.0,1.0,1623.0,No,2192.0
2022-03-09,Europe,DevTools,Online,Business,4877.0,7.0,1492.0,Yes,34139.0
2022-03-10,South America,DevTools,Partner,Business,3477.0,7.0,1159.0,No,24339.0
2022-03-11,South America,Antivirus,Partner,Business,5462.0,10.0,1031.0,Yes,54620.0
2022-03-12,North America,ERP,Partner,Business,6784.0,6.0,1632.0,No,40704.0
2022-03-13,Australia,CRM,Partner,Business,6370.0,12.0,985.0,No,76440.0
2022-03-14,Australia,CRM,Partner,Business,4679.0,13.0,1682.0,No,60827.0
2022-03-15,Europe,ERP,Direct Sales,Consumer,5605.0,11.0,1520.0,No,61655.0
2022-03-16,Australia,CRM,Partner,Business,2920.0,18.0,1367.0,Yes,52560.0
2022-03-17,Europe,Antivirus,Direct Sales,Consumer,340.0,2.0,1053.0,No,680.0
2022-03-18,North America,Antivirus,Partner,Consumer,6288.0,16.0,808.0,No,100608.0
2022-03-19,South America,ERP,Direct Sales,Consumer,2600.0,2.0,1566.0,No,5200.0
2022-03-20,South America,CRM,Direct Sales,Consumer,6723.0,19.0,637.0,No,127737.0
2022-03-21,South America,Antivirus,Online,Consumer,7495.0,6.0,1956.0,Yes,44970.0
2022-03-22,Australia,Antivirus,Partner,Consumer,9168.0,1.0,1968.0,Yes,9168.0
2022-03-23,North America,Database,Online,Consumer,9585.0,11.0,695.0,No,105435.0
2022-03-24,Australia,Database,Online,Consumer,204.0,18.0,656.0,Yes,3672.0
2022-03-25,Australia,Antivirus,Partner,Business,9905.0,10.0,1119.0,No,99050.0
2022-03-26,North America,ERP,Online,Consumer,6862.0,18.0,1946.0,Yes,123516.0
2022-03-27,North America,DevTools,Partner,Consumer,6471.0,1.0,1100.0,No,6471.0
2022-03-28,North America,DevTools,Online,Consumer,251.0,19.0,1046.0,Yes,4769.0
2022-03-29,North America,Antivirus,Partner,Consumer,8626.0,16.0,1555.0,Yes,138016.0
2022-03-30,South America,Antivirus,Partner,Business,1540.0,7.0,768.0,Yes,10780.0
2022-03-31,Asia,Antivirus,Partner,Consumer,8390.0,15.0,1045.0,Yes,125850.0
2022-04-01,Asia,ERP,Direct Sales,Business,254.0,1.0,937.0,Yes,254.0
2022-04-02,North America,Database,Online,Business,6495.0,9.0,1402.0,No,58455.0
2022-04-03,Asia,Antivirus,Direct Sales,Consumer,4405.0,2.0,744.0,Yes,8810.0
2022-04-04,Asia,Antivirus,Online,Consumer,2088.0,17.0,1323.0,No,35496.0
2022-04-05,North America,CRM,Online,Business,1165.0,10.0,1786.0,No,11650.0
2022-04-06,Asia,ERP,Online,Consumer,4457.0,6.0,1271.0,No,26742.0
2022-04-07,Australia,Antivirus,Direct Sales,Consumer,1321.0,5.0,1525.0,No,6605.0
2022-04-08,Europe,CRM,Online,Business,4916.0,8.0,613.0,No,39328.0
2022-04-09,Europe,DevTools,Direct Sales,Business,6290.0,8.0,1174.0,No,50320.0
2022-04-10,North America,Antivirus,Partner,Consumer,8291.0,5.0,642.0,No,41455.0
2022-04-11,South America,Antivirus,Online,Consumer,6819.0,12.0,1399.0,No,81828.0
2022-04-12,North America,CRM,Online,Consumer,745.0,7.0,922.0,No,5215.0
2022-04-13,South America,ERP,Partner,Business,3144.0,13.0,931.0,No,40872.0
2022-04-14,Europe,Antivirus,Partner,Consumer,2951.0,13.0,615.0,No,38363.0
2022-04-15,North America,DevTools,Online,Business,9159.0,17.0,965.0,Yes,155703.0
2022-04-16,Australia,Antivirus,Partner,Business,8691.0,4.0,1260.0,No,34764.0
2022-04-17,Asia,DevTools,Direct Sales,Consumer,3764.0,18.0,1377.0,No,67752.0
2022-04-18,South America,Database,Direct Sales,Business,804.0,10.0,600.0,No,8040.0
2022-04-19,Asia,Database,Online,Consumer,8952.0,3.0,1477.0,Yes,26856.0
2022-04-20,Asia,DevTools,Direct Sales,Consumer,8893.0,12.0,1233.0,Yes,106716.0
2022-04-21,North America,ERP,Direct Sales,Business,8562.0,1.0,1305.0,No,8562.0
2022-04-22,Asia,Antivirus,Online,Consumer,8466.0,11.0,1749.0,Yes,93126.0
2022-04-23,Australia,Antivirus,Partner,Business,4855.0,18.0,1013.0,Yes,87390.0
2022-04-24,Asia,Database,Online,Business,1857.0,13.0,761.0,No,24141.0
2022-04-25,North America,DevTools,Direct Sales,Consumer,4827.0,17.0,1328.0,No,82059.0
2022-04-26,Australia,Antivirus,Online,Consumer,4997.0,8.0,1918.0,Yes,39976.0
2022-04-27,Europe,Antivirus,Online,Consumer,4950.0,19.0,1277.0,Yes,94050.0
2022-04-28,Asia,ERP,Direct Sales,Consumer,5434.0,17.0,1748.0,No,92378.0
2022-04-29,North America,CRM,Direct Sales,Business,2651.0,2.0,1636.0,No,5302.0
2022-04-30,Europe,Database,Online,Business,3726.0,3.0,1277.0,No,11178.0
2022-05-01,Europe,Database,Direct Sales,Business,4398.0,3.0,1471.0,No,13194.0
2022-05-02,South America,CRM,Direct Sales,Consumer,1398.0,6.0,1110.0,No,8388.0
2022-05-03,Australia,Antivirus,Direct Sales,Business,4608.0,10.0,1296.0,No,46080.0
2022-05-04,Asia,ERP,Direct Sales,Business,8124.0,18.0,1261.0,Yes,146232.0
2022-05-05,North America,ERP,Direct Sales,Consumer,8298.0,18.0,1564.0,No,149364.0
2022-05-06,South America,Database,Direct Sales,Consumer,4174.0,14.0,1115.0,No,58436.0
2022-05-07,Australia,ERP,Partner,Consumer,5236.0,16.0,650.0,Yes,83776.0
2022-05-08,South America,CRM,Online,Business,433.0,7.0,1683.0,No,3031.0
2022-05-09,Australia,Antivirus,Direct Sales,Consumer,6777.0,1.0,1527.0,No,6777.0
2022-05-10,Australia,CRM,Online,Business,4106.0,17.0,1925.0,Yes,69802.0
2022-05-11,Asia,DevTools,Partner,Business,4510.0,5.0,1143.0,Yes,22550.0
2022-05-12,Australia,Database,Direct Sales,Business,8749.0,1.0,617.0,No,8749.0
2022-05-13,South America,ERP,Online,Business,4672.0,17.0,682.0,Yes,79424.0
2022-05-14,Australia,DevTools,Direct Sales,Business,310.0,10.0,1660.0,No,3100.0
2022-05-15,Asia,ERP,Direct Sales,Consumer,2352.0,12.0,602.0,No,28224.0
2022-05-16,Asia,Antivirus,Direct Sales,Business,4809.0,2.0,1862.0,Yes,9618.0
2022-05-17,South America,Antivirus,Direct Sales,Consumer,4302.0,16.0,922.0,No,68832.0
2022-05-18,Europe,Antivirus,Direct Sales,Business,8618.0,15.0,1848.0,No,129270.0
2022-05-19,Europe,ERP,Direct Sales,Business,5467.0,13.0,1660.0,No,71071.0
2022-05-20,Australia,DevTools,Direct Sales,Consumer,6927.0,18.0,1807.0,No,124686.0
2022-05-21,North America,Antivirus,Partner,Business,4746.0,14.0,821.0,Yes,66444.0
2022-05-22,Australia,DevTools,Partner,Business,4453.0,18.0,1394.0,Yes,80154.0
2022-05-23,South America,ERP,Direct Sales,Consumer,4518.0,2.0,640.0,No,9036.0
2022-05-24,South America,DevTools,Direct Sales,Consumer,4168.0,2.0,803.0,No,8336.0
2022-05-25,South America,ERP,Partner,Business,5432.0,3.0,965.0,No,16296.0
2022-05-26,South America,ERP,Partner,Business,2579.0,5.0,1611.0,No,12895.0
2022-05-27,South America,Database,Partner,Business,8921.0,16.0,537.0,No,142736.0
2022-05-28,Asia,ERP,Direct Sales,Consumer,3398.0,15.0,1855.0,Yes,50970.0
2022-05-29,Europe,ERP,Online,Business,1560.0,12.0,606.0,Yes,18720.0
2022-05-30,South America,CRM,Online,Consumer,1056.0,9.0,1065.0,Yes,9504.0
2022-05-31,North America,Antivirus,Online,Consumer,233.0,14.0,622.0,No,3262.0
2022-06-01,North America,Database,Online,Business,4286.0,16.0,1653.0,No,68576.0
2022-06-02,North America,Database,Direct Sales,Consumer,1957.0,11.0,712.0,No,21527.0
2022-06-03,North America,Database,Online,Business,314.0,6.0,1827.0,Yes,1884.0
2022-06-04,Asia,CRM,Partner,Business,5248.0,10.0,1295.0,No,52480.0
2022-06-05,North America,ERP,Partner,Consumer,6832.0,8.0,1923.0,Yes,54656.0
2022-06-06,South America,Antivirus,Online,Consumer,949.0,16.0,936.0,No,15184.0
2022-06-07,Australia,DevTools,Partner,Consumer,4663.0,3.0,1181.0,No,13989.0
2022-06-08,North America,ERP,Direct Sales,Consumer,7462.0,2.0,1541.0,No,14924.0
2022-06-09,Asia,CRM,Online,Consumer,9859.0,16.0,1748.0,No,157744.0
2022-06-10,Asia,ERP,Online,Consumer,6705.0,19.0,1132.0,Yes,127395.0
2022-06-11,North America,ERP,Direct Sales,Business,2524.0,9.0,1839.0,No,22716.0
2022-06-12,Australia,CRM,Partner,Business,7194.0,16.0,677.0,No,115104.0
2022-06-13,North America,Database,Direct Sales,Business,6020.0,4.0,1563.0,Yes,24080.0
2022-06-14,Asia,Database,Direct Sales,Consumer,2197.0,10.0,1022.0,Yes,21970.0
2022-06-15,Europe,Antivirus,Partner,Consumer,8526.0,19.0,652.0,Yes,161994.0
2022-06-16,South America,Antivirus,Direct Sales,Consumer,4331.0,13.0,1080.0,No,56303.0
2022-06-17,Asia,Database,Partner,Business,9624.0,18.0,1820.0,No,173232.0
2022-06-18,North America,DevTools,Partner,Business,7257.0,15.0,1971.0,No,108855.0
2022-06-19,South America,ERP,Direct Sales,Consumer,6481.0,4.0,1089.0,No,25924.0
2022-06-20,North America,DevTools,Partner,Consumer,7311.0,9.0,1830.0,Yes,65799.0
2022-06-21,North America,ERP,Direct Sales,Consumer,4833.0,4.0,1264.0,Yes,19332.0
2022-06-22,Europe,Database,Partner,Consumer,5102.0,16.0,1576.0,Yes,81632.0
2022-06-23,South America,Antivirus,Online,Business,8527.0,15.0,568.0,Yes,127905.0
2022-06-24,South America,Antivirus,Partner,Business,6841.0,2.0,1336.0,Yes,13682.0
2022-06-25,Europe,DevTools,Partner,Business,8983.0,14.0,605.0,No,125762.0
2022-06-26,Asia,Antivirus,Direct Sales,Consumer,8919.0,3.0,903.0,No,26757.0
2022-06-27,North America,Database,Partner,Business,9767.0,4.0,1350.0,No,39068.0
2022-06-28,Australia,DevTools,Online,Consumer,7032.0,1.0,1711.0,Yes,7032.0
2022-06-29,North America,ERP,Online,Consumer,5073.0,9.0,1341.0,Yes,45657.0
2022-06-30,North America,Antivirus,Partner,Consumer,1746.0,17.0,1904.0,No,29682.0
2022-07-01,Asia,CRM,Partner,Business,7083.0,14.0,1715.0,No,99162.0
2022-07-02,North America,Antivirus,Online,Business,2987.0,17.0,734.0,No,50779.0
2022-07-03,Europe,ERP,Direct Sales,Consumer,2901.0,1.0,1083.0,No,2901.0
2022-07-04,Europe,DevTools,Online,Business,2459.0,10.0,1503.0,No,24590.0
2022-07-05,South America,ERP,Online,Consumer,8764.0,16.0,1908.0,No,140224.0
2022-07-06,Australia,CRM,Partner,Consumer,8693.0,19.0,1982.0,Yes,165167.0
2022-07-07,North America,Database,Partner,Consumer,6347.0,3.0,1645.0,No,19041.0
2022-07-08,North America,Antivirus,Online,Business,4783.0,12.0,1361.0,Yes,57396.0
2022-07-09,Asia,DevTools,Direct Sales,Business,6754.0,3.0,1635.0,No,20262.0
2022-07-10,Europe,Database,Online,Consumer,6112.0,15.0,910.0,Yes,91680.0
2022-07-11,Australia,ERP,Online,Business,4216.0,17.0,925.0,Yes,71672.0
2022-07-12,South America,DevTools,Direct Sales,Business,3858.0,18.0,1482.0,Yes,69444.0
2022-07-13,Europe,Database,Online,Business,3890.0,7.0,1808.0,No,27230.0
2022-07-14,South America,DevTools,Online,Business,5932.0,19.0,1955.0,No,112708.0
2022-07-15,Asia,CRM,Partner,Consumer,6512.0,7.0,1012.0,No,45584.0
2022-07-16,Asia,CRM,Direct Sales,Business,4572.0,5.0,1695.0,No,22860.0
2022-07-17,North America,Antivirus,Partner,Consumer,9690.0,8.0,1777.0,Yes,77520.0
2022-07-18,Australia,Antivirus,Partner,Consumer,930.0,16.0,1435.0,No,14880.0
2022-07-19,South America,CRM,Direct Sales,Business,3536.0,16.0,1021.0,No,56576.0
2022-07-20,Europe,DevTools,Direct Sales,Consumer,4249.0,19.0,1429.0,No,80731.0
2022-07-21,Asia,CRM,Online,Consumer,268.0,15.0,1377.0,Yes,4020.0
2022-07-22,North America,Antivirus,Partner,Business,3713.0,7.0,1410.0,Yes,25991.0
2022-07-23,North America,CRM,Direct Sales,Consumer,2810.0,5.0,1429.0,No,14050.0
2022-07-24,South America,CRM,Partner,Consumer,5110.0,11.0,1771.0,No,56210.0
2022-07-25,Asia,DevTools,Partner,Business,3430.0,10.0,755.0,No,34300.0
2022-07-26,Australia,Database,Direct Sales,Business,7289.0,9.0,1051.0,No,65601.0
2022-07-27,Asia,Antivirus,Online,Business,5148.0,1.0,1379.0,Yes,5148.0
2022-07-28,South America,DevTools,Partner,Business,1385.0,1.0,925.0,No,1385.0
2022-07-29,South America,CRM,Direct Sales,Business,7526.0,8.0,1967.0,No,60208.0
2022-07-30,Asia,CRM,Online,Consumer,1082.0,3.0,895.0,Yes,3246.0
2022-07-31,South America,Database,Partner,Consumer,8407.0,2.0,1204.0,No,16814.0
2022-08-01,Asia,Antivirus,Direct Sales,Business,9321.0,4.0,1816.0,No,37284.0
2022-08-02,Europe,Antivirus,Partner,Business,3292.0,19.0,620.0,No,62548.0
2022-08-03,Asia,ERP,Direct Sales,Consumer,9269.0,11.0,1731.0,Yes,101959.0
2022-08-04,Asia,Antivirus,Direct Sales,Business,7951.0,5.0,1357.0,Yes,39755.0
2022-08-05,South America,Database,Partner,Business,9232.0,10.0,548.0,No,92320.0
2022-08-06,South America,ERP,Partner,Consumer,6696.0,8.0,1854.0,No,53568.0
2022-08-07,North America,ERP,Direct Sales,Consumer,2433.0,13.0,559.0,Yes,31629.0
2022-08-08,North America,CRM,Online,Consumer,8956.0,5.0,1273.0,Yes,44780.0
2022-08-09,Europe,CRM,Partner,Business,1924.0,12.0,574.0,Yes,23088.0
2022-08-10,North America,Antivirus,Direct Sales,Consumer,2209.0,13.0,607.0,No,28717.0
2022-08-11,Asia,ERP,Direct Sales,Business,2784.0,8.0,1831.0,Yes,22272.0
2022-08-12,South America,CRM,Online,Consumer,3112.0,15.0,1649.0,Yes,46680.0
2022-08-13,North America,Database,Online,Business,5193.0,13.0,795.0,Yes,67509.0
2022-08-14,North America,CRM,Online,Business,7163.0,1.0,1431.0,No,7163.0
2022-08-15,Europe,CRM,Partner,Business,9269.0,6.0,1692.0,Yes,55614.0
2022-08-16,Europe,ERP,Direct Sales,Consumer,976.0,11.0,1834.0,No,10736.0
2022-08-17,Asia,ERP,Direct Sales,Consumer,9548.0,13.0,1202.0,No,124124.0
2022-08-18,South America,DevTools,Direct Sales,Consumer,9221.0,1.0,1846.0,No,9221.0
2022-08-19,Europe,Database,Online,Business,635.0,11.0,1262.0,No,6985.0
2022-08-20,North America,ERP,Direct Sales,Consumer,3667.0,11.0,1532.0,Yes,40337.0
2022-08-21,South America,Antivirus,Partner,Consumer,8150.0,8.0,1969.0,No,65200.0
2022-08-22,South America,Database,Online,Business,6155.0,3.0,854.0,No,18465.0
2022-08-23,North America,Database,Online,Business,7813.0,19.0,753.0,No,148447.0
2022-08-24,Europe,ERP,Online,Consumer,7218.0,12.0,1013.0,Yes,86616.0
2022-08-25,North America,Database,Online,Consumer,5018.0,6.0,747.0,Yes,30108.0
2022-08-26,South America,ERP,Partner,Consumer,508.0,8.0,926.0,Yes,4064.0
2022-08-27,Australia,CRM,Direct Sales,Business,5884.0,5.0,1614.0,Yes,29420.0
2022-08-28,Australia,DevTools,Partner,Consumer,581.0,10.0,1216.0,No,5810.0
2022-08-29,Asia,CRM,Direct Sales,Business,6077.0,16.0,1063.0,No,97232.0
2022-08-30,North America,ERP,Partner,Business,8024.0,12.0,1053.0,No,96288.0
2022-08-31,North America,ERP,Online,Consumer,5891.0,17.0,792.0,Yes,100147.0
2022-09-01,Asia,CRM,Online,Consumer,9971.0,6.0,1171.0,Yes,59826.0
2022-09-02,Asia,Antivirus,Partner,Business,4613.0,9.0,1437.0,Yes,41517.0
2022-09-03,Asia,Antivirus,Partner,Business,7513.0,10.0,709.0,No,75130.0
2022-09-04,South America,Antivirus,Direct Sales,Consumer,6705.0,14.0,1959.0,No,93870.0
2022-09-05,North America,ERP,Partner,Consumer,9915.0,14.0,1165.0,No,138810.0
2022-09-06,South America,Database,Partner,Consumer,7161.0,17.0,1922.0,Yes,121737.0
2022-09-07,Asia,ERP,Direct Sales,Business,1724.0,16.0,702.0,Yes,27584.0
2022-09-08,North America,Database,Direct Sales,Business,9560.0,4.0,1651.0,No,38240.0
2022-09-09,South America,CRM,Direct Sales,Consumer,6711.0,2.0,1426.0,Yes,13422.0
2022-09-10,South America,DevTools,Partner,Business,687.0,16.0,1730.0,No,10992.0
2022-09-11,Asia,Database,Direct Sales,Business,6610.0,1.0,1401.0,No,6610.0
2022-09-12,North America,Antivirus,Online,Consumer,8843.0,3.0,1944.0,Yes,26529.0
2022-09-13,Asia,ERP,Online,Business,5813.0,11.0,1440.0,No,63943.0
2022-09-14,North America,CRM,Online,Consumer,3605.0,16.0,1677.0,No,57680.0
2022-09-15,Australia,Antivirus,Partner,Consumer,8227.0,18.0,1816.0,No,148086.0
2022-09-16,Europe,CRM,Online,Business,7847.0,15.0,1572.0,No,117705.0
2022-09-17,Europe,DevTools,Partner,Business,5487.0,9.0,1286.0,No,49383.0
2022-09-18,Europe,ERP,Partner,Consumer,1628.0,12.0,909.0,Yes,19536.0
2022-09-19,Asia,ERP,Online,Business,2585.0,18.0,1782.0,No,46530.0
2022-09-20,Australia,DevTools,Direct Sales,Consumer,7411.0,5.0,1221.0,Yes,37055.0
2022-09-21,North America,ERP,Partner,Business,8080.0,8.0,1431.0,No,64640.0
2022-09-22,South America,Database,Online,Business,2865.0,3.0,619.0,Yes,8595.0
2022-09-23,North America,CRM,Partner,Business,3743.0,2.0,1246.0,Yes,7486.0
2022-09-24,South America,Antivirus,Direct Sales,Consumer,869.0,19.0,1547.0,Yes,16511.0
2022-09-25,North America,DevTools,Direct Sales,Business,7163.0,8.0,1376.0,No,57304.0
2022-09-26,Australia,Database,Online,Consumer,135.0,2.0,1173.0,Yes,270.0
2022-09-27,South America,Antivirus,Partner,Consumer,561.0,19.0,835.0,No,10659.0
2022-09-28,Asia,Antivirus,Partner,Consumer,143.0,1.0,965.0,No,143.0
2022-09-29,North America,DevTools,Partner,Business,6489.0,13.0,1551.0,Yes,84357.0
2022-09-30,North America,Database,Partner,Consumer,4232.0,17.0,836.0,Yes,71944.0
2022-10-01,South America,Antivirus,Online,Consumer,3046.0,3.0,1433.0,No,9138.0
2022-10-02,Asia,Antivirus,Direct Sales,Business,9136.0,9.0,1385.0,No,82224.0
2022-10-03,Asia,Database,Online,Consumer,2009.0,5.0,1956.0,No,10045.0
2022-10-04,Australia,ERP,Partner,Consumer,3955.0,6.0,591.0,Yes,23730.0
2022-10-05,Asia,Antivirus,Partner,Business,9409.0,4.0,662.0,No,37636.0
2022-10-06,Asia,CRM,Direct Sales,Consumer,4328.0,17.0,1259.0,No,73576.0
2022-10-07,Asia,Database,Partner,Business,5591.0,16.0,1291.0,No,89456.0
2022-10-08,Europe,Antivirus,Online,Consumer,895.0,16.0,560.0,No,14320.0
2022-10-09,Australia,DevTools,Online,Consumer,7923.0,11.0,1739.0,No,87153.0
2022-10-10,North America,CRM,Direct Sales,Business,4285.0,2.0,1242.0,No,8570.0
2022-10-11,South America,Antivirus,Online,Consumer,8025.0,17.0,1020.0,No,136425.0
2022-10-12,North America,CRM,Online,Consumer,2613.0,15.0,978.0,No,39195.0
2022-10-13,Australia,CRM,Online,Consumer,4283.0,18.0,1792.0,No,77094.0
2022-10-14,South America,ERP,Online,Business,7887.0,10.0,795.0,No,78870.0
2022-10-15,Australia,CRM,Partner,Business,9741.0,6.0,741.0,No,58446.0
2022-10-16,Asia,ERP,Online,Business,690.0,16.0,820.0,No,11040.0
2022-10-17,South America,Database,Direct Sales,Business,8143.0,5.0,1438.0,Yes,40715.0
2022-10-18,Asia,ERP,Direct Sales,Business,3077.0,12.0,1716.0,No,36924.0
2022-10-19,North America,DevTools,Online,Consumer,5552.0,6.0,996.0,No,33312.0
2022-10-20,North America,Antivirus,Direct Sales,Business,2972.0,14.0,760.0,No,41608.0
2022-10-21,South America,Database,Online,Business,6173.0,16.0,814.0,No,98768.0
2022-10-22,South America,Database,Direct Sales,Business,3603.0,7.0,1429.0,No,25221.0
2022-10-23,Australia,DevTools,Direct Sales,Consumer,3403.0,2.0,869.0,Yes,6806.0
2022-10-24,Australia,ERP,Online,Consumer,476.0,6.0,1816.0,No,2856.0
2022-10-25,Asia,Antivirus,Online,Business,1555.0,9.0,656.0,Yes,13995.0
2022-10-26,South America,ERP,Partner,Consumer,9179.0,7.0,549.0,No,64253.0
2022-10-27,North America,CRM,Online,Consumer,9983.0,2.0,633.0,Yes,19966.0
2022-10-28,Australia,ERP,Online,Consumer,7827.0,19.0,1768.0,Yes,148713.0
2022-10-29,Australia,Database,Partner,Consumer,2939.0,8.0,1477.0,No,23512.0
2022-10-30,North America,Antivirus,Online,Business,4084.0,11.0,1937.0,Yes,44924.0
2022-10-31,Australia,ERP,Online,Business,7421.0,4.0,1004.0,Yes,29684.0
2022-11-01,Asia,Antivirus,Partner,Consumer,9688.0,16.0,819.0,No,155008.0
2022-11-02,South America,Antivirus,Online,Consumer,4609.0,18.0,1343.0,Yes,82962.0
2022-11-03,North America,CRM,Online,Consumer,8312.0,13.0,1307.0,Yes,108056.0
